S.No,State/UT,Mar20_Total,Mar20_Operative,Mar21_Total,Mar21_Operative,Mar22_Total,Mar22_Operative,Mar23_Total,Mar23_Operative,Mar24_Total,Mar24_Operative,Jan25_Total,Jan25_Operative,state_norm,Mar20_Operative_Share,Mar21_Operative_Share,Mar22_Operative_Share,Mar23_Operative_Share,Mar24_Operative_Share,Jan25_Operative_Share
1,Islands,0.49,0.31,0.47,0.38,0.46,0.37,0.48,0.34,0.61,0.48,0.62,0.49,Islands,0.6326530612244898,0.8085106382978724,0.8043478260869564,0.7083333333333334,0.7868852459016393,0.7903225806451613
2,Andhra Pradesh,104.52,85.07,116.71,100.51,117.1,97.74,130.84,97.91,147.67,113.96,154.91,117.42,Andhra Pradesh,0.8139112131649445,0.861194413503556,0.8346712211784799,0.748318557016203,0.7717207286517235,0.7579885094571042
3,Arunachal Pradesh,3.38,2.68,3.55,2.59,3.77,3.27,4.08,3.26,4.52,3.73,4.6,3.68,Arunachal Pradesh,0.7928994082840237,0.7295774647887324,0.8673740053050398,0.7990196078431372,0.8252212389380532,0.8
4,Assam,163.56,144.99,186.16,164.24,203.4,187.27,221.55,197.88,236.17,196.58,247.05,199.76,Assam,0.886463683052091,0.8822518263859047,0.9206981317600786,0.8931618144888286,0.8323665156455097,0.8085812588544828
5,Bihar,439.04,382.33,483.92,426.05,510.15,449.98,546.72,459.32,583.84,481.64,622.02,497.52,Bihar,0.8708318148688046,0.880414118036039,0.8820542977555622,0.840137547556336,0.8249520416552479,0.7998456641265554
6,Chandigarh,2.54,1.92,2.65,2.08,2.82,2.15,3.06,2.27,3.27,2.38,3.35,2.35,Chandigarh,0.7559055118110236,0.7849056603773585,0.7624113475177305,0.7418300653594772,0.72782874617737,0.7014925373134329
7,Chhattisgarh,147.64,121.72,153.37,134.89,159.63,138.68,167.07,136.07,175.1,143.56,182.0,150.62,Chhattisgarh,0.824437821728529,0.8795070743952532,0.868759005199524,0.8144490333393188,0.8198743575099944,0.8275824175824176
8,Daman & Diu,1.85,1.38,2.06,1.68,2.12,1.66,2.23,1.48,2.31,1.52,2.39,1.52,Dadra and Nagar Haveli and Daman and Diu,0.7459459459459459,0.8155339805825242,0.7830188679245282,0.6636771300448431,0.658008658008658,0.6359832635983264
9,Delhi,45.88,37.38,48.16,39.64,53.34,42.99,57.98,44.74,62.98,46.76,66.47,48.44,Delhi,0.8147340889276373,0.8230897009966778,0.8059617547806524,0.7716453949637807,0.7424579231502064,0.7287498119452385
10,Goa,1.68,1.13,1.7,1.22,1.7,1.14,1.92,1.11,2.06,1.22,2.15,1.29,Goa,0.6726190476190476,0.7176470588235294,0.6705882352941176,0.5781250000000001,0.5922330097087378,0.6000000000000001
11,Gujarat,153.21,118.24,160.59,133.4,168.31,140.22,176.71,134.72,184.04,140.99,191.18,143.43,Gujarat,0.7717511911755106,0.8306868422691326,0.8331055789911472,0.762379039103616,0.7660834601173658,0.7502353802699027
12,Haryana,74.94,62.41,79.05,66.04,84.99,69.82,91.39,70.7,99.25,74.29,104.41,77.42,Haryana,0.8327995729917267,0.8354206198608477,0.8215084127544416,0.773607615712879,0.7485138539042822,0.7414998563356001
13,Himachal Pradesh,13.07,11.23,15.06,13.42,16.03,14.19,17.27,14.8,18.76,16.17,19.74,16.42,Himachal Pradesh,0.8592195868400918,0.8911022576361222,0.8852152214597628,0.8569774174869716,0.8619402985074627,0.8318135764944277
14,Jammu & Kashmir,21.45,12.35,24.67,14.92,25.7,15.72,26.38,19.78,27.36,19.66,23.97,17.37,Jammu and Kashmir,0.5757575757575758,0.6047831374138629,0.6116731517509728,0.7498104624715695,0.7185672514619883,0.7246558197747185
15,Jharkhand,133.97,106.59,154.71,129.81,162.22,136.64,174.08,135.42,183.63,142.44,194.31,149.76,Jharkhand,0.795625886392476,0.8390537133992632,0.8423129083960054,0.7779181985294117,0.775690246691717,0.7707271885132005
16,Karnataka,148.76,117.17,152.44,131.21,160.19,131.42,177.72,127.47,192.13,147.47,201.67,154.37,Karnataka,0.7876445280989514,0.8607320913146157,0.820400774080779,0.7172518568534774,0.7675532191745172,0.7654584221748402
17,Kerala,43.09,33.47,47.35,40.02,49.05,41.46,55.31,40.35,62.04,46.35,67.23,48.87,Kerala,0.7767463448595961,0.84519535374868,0.8452599388379206,0.7295244982824083,0.7470986460348162,0.7269076305220883
18,Ladakh,0.19,0.11,0.21,0.12,0.21,0.12,0.21,0.15,0.22,0.14,0.19,0.12,Ladakh,0.5789473684210527,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.6363636363636365,0.631578947368421
19,Lakshadweep,0.06,0.04,0.06,0.05,0.08,0.07,0.1,0.08,0.1,0.09,0.1,0.09,Lakshadweep,0.6666666666666667,0.8333333333333334,0.8750000000000001,0.7999999999999999,0.8999999999999999,0.8999999999999999
20,Madhya Pradesh,326.23,258.26,353.97,297.24,372.34,306.35,404.2,314.92,429.88,350.65,447.5,350.58,Madhya Pradesh,0.7916500628391012,0.839732180693279,0.822769511736585,0.7791192478970808,0.8156927514655252,0.7834189944134078
21,Maharashtra,270.23,203.34,299.69,253.37,313.91,262.26,324.05,250.62,340.81,271.04,363.33,291.7,Maharashtra,0.752470118047589,0.8454402882979078,0.835462393679717,0.7733991667952477,0.7952818285848421,0.8028514023064431
